seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
1403,1785044605365,1785044605365,0,0.000,0,40
1404,1785044605367,1785044605365,2,0.125,0,40
1405,1785044605367,1785044605365,2,0.117,0,40
1406,1785044605367,1785044605365,2,0.110,0,40
1407,1785044605367,1785044605365,2,0.103,0,40
1408,1785044605367,1785044605365,2,0.097,0,40
1409,1785044605367,1785044605365,2,0.091,0,40
1410,1785044605368,1785044605365,3,0.147,0,40
1411,1785044605368,1785044605365,3,0.138,0,40
1412,1785044605368,1785044605365,3,0.130,0,40
1413,1785044605368,1785044605365,3,0.121,0,40
1414,1785044605368,1785044605366,2,0.176,0,40
1415,1785044605493,1785044605492,1,0.228,0,40
1416,1785044605494,1785044605492,2,0.276,0,40
1417,1785044605494,1785044605492,2,0.259,0,40
1418,1785044605494,1785044605493,1,0.305,0,40
1419,1785044605495,1785044605493,2,0.349,0,40
1420,1785044605495,1785044605493,2,0.327,0,40
1421,1785044605495,1785044605493,2,0.306,0,40
1422,1785044605495,1785044605494,1,0.350,0,40
1423,1785044605495,1785044605494,1,0.328,0,40
1424,1785044605498,1785044605494,4,0.495,0,40
1425,1785044605499,1785044605494,5,0.526,0,40
1426,1785044605499,1785044605494,5,0.494,0,40
1427,1785044605499,1785044605495,4,0.525,0,40
1428,1785044605620,1785044605620,0,0.742,0,40
1429,1785044605622,1785044605620,2,0.821,0,40
1430,1785044605622,1785044605620,2,0.770,0,40
1431,1785044605623,1785044605620,3,0.784,0,40
1432,1785044605623,1785044605620,3,0.735,0,40
1433,1785044605623,1785044605621,2,0.752,0,40
1434,1785044605624,1785044605621,3,0.767,0,40
1435,1785044605624,1785044605622,2,0.782,0,40
1436,1785044605625,1785044605622,3,0.795,0,40
1437,1785044605625,1785044605622,3,0.746,0,40
1438,1785044605625,1785044605622,3,0.699,0,40
1439,1785044605625,1785044605622,3,0.655,0,40
1440,1785044605748,1785044605748,0,0.802,0,40
1441,1785044605749,1785044605748,1,0.814,0,40
1442,1785044605749,1785044605748,1,0.763,0,40
1443,1785044605749,1785044605748,1,0.716,0,40
1444,1785044605750,1785044605748,2,0.733,0,40
1445,1785044605750,1785044605749,1,0.750,0,40
1446,1785044605750,1785044605749,1,0.703,0,40
1447,1785044605751,1785044605749,2,0.722,0,40
1448,1785044605751,1785044605749,2,0.677,0,40
1449,1785044605752,1785044605749,3,0.697,0,40
1450,1785044605752,1785044605749,3,0.653,0,40
1451,1785044605752,1785044605750,2,0.675,0,40
1452,1785044605752,1785044605750,2,0.633,0,40
1453,1785044605877,1785044605876,1,0.656,0,40
1454,1785044605877,1785044605876,1,0.615,0,40
1455,1785044605877,1785044605877,0,0.639,0,40
1456,1785044605878,1785044605877,1,0.661,0,40
1457,1785044605878,1785044605877,1,0.620,0,40
1458,1785044605879,1785044605877,2,0.644,0,40
1459,1785044605879,1785044605877,2,0.604,0,40
1460,1785044605879,1785044605878,1,0.628,0,40
1461,1785044605880,1785044605880,0,0.652,0,40
1462,1785044605882,1785044605882,0,0.611,0,40
1463,1785044605882,1785044605882,0,0.573,0,40
1464,1785044605883,1785044605882,1,0.599,0,40
1465,1785044606009,1785044606008,1,0.562,0,40
1466,1785044606010,1785044606008,2,0.589,0,40
1467,1785044606011,1785044606009,2,0.552,0,40
1468,1785044606011,1785044606009,2,0.518,0,40
1469,1785044606012,1785044606009,3,0.548,0,40
1470,1785044606012,1785044606009,3,0.514,0,40
1471,1785044606013,1785044606010,3,0.482,0,40
1472,1785044606013,1785044606010,3,0.452,0,40
1473,1785044606013,1785044606012,1,0.548,0,40
1474,1785044606015,1785044606012,3,0.639,0,40
1475,1785044606016,1785044606012,4,0.662,0,40
1476,1785044606016,1785044606012,4,0.620,0,40
1477,1785044606017,1785044606012,5,0.644,0,40
1478,1785044606017,1785044606012,5,0.604,0,40
1479,1785044606017,1785044606012,5,0.566,0,40
1480,1785044606018,1785044606013,5,0.531,0,40
1481,1785044606138,1785044606138,0,0.810,0,40
1482,1785044606139,1785044606138,1,0.822,0,40
1483,1785044606139,1785044606139,0,0.833,0,40
1484,1785044606140,1785044606139,1,0.843,0,40
1485,1785044606140,1785044606139,1,0.791,0,40
1486,1785044606140,1785044606139,1,0.741,0,40
1487,1785044606140,1785044606140,0,0.757,0,40
1488,1785044606140,1785044606140,0,0.710,0,40
1489,1785044606141,1785044606140,1,0.728,0,40
1490,1785044606141,1785044606140,1,0.683,0,40
1491,1785044606141,1785044606140,1,0.640,0,40
