seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
2386,1785284644149,1785284644149,0,0.000,0,40
2387,1785284644153,1785284644149,4,0.250,0,40
2388,1785284644154,1785284644149,5,0.297,0,40
2389,1785284644154,1785284644149,5,0.278,0,40
2390,1785284644155,1785284644149,6,0.323,0,40
2391,1785284644155,1785284644149,6,0.303,0,40
2392,1785284644155,1785284644149,6,0.284,0,40
2393,1785284644155,1785284644149,6,0.266,0,40
2394,1785284644155,1785284644149,6,0.250,0,40
2395,1785284644155,1785284644150,5,0.297,0,40
2396,1785284644155,1785284644150,5,0.278,0,40
2397,1785284644155,1785284644150,5,0.261,0,40
2398,1785284644155,1785284644151,4,0.307,0,40
2399,1785284644156,1785284644151,5,0.350,0,40
2400,1785284644156,1785284644151,5,0.328,0,40
2401,1785284644157,1785284644151,6,0.370,0,40
2402,1785284644277,1785284644277,0,0.722,0,40
2403,1785284644278,1785284644277,1,0.740,0,40
2404,1785284644278,1785284644277,1,0.693,0,40
2405,1785284644278,1785284644277,1,0.650,0,40
2406,1785284644278,1785284644278,0,0.672,0,40
2407,1785284644281,1785284644278,3,0.817,0,40
2408,1785284644282,1785284644278,4,0.829,0,40
2409,1785284644282,1785284644278,4,0.777,0,40
2410,1785284644286,1785284644279,7,0.916,0,40
2411,1785284644286,1785284644279,7,0.859,0,40
2412,1785284644287,1785284644279,8,0.868,0,40
2413,1785284644287,1785284644279,8,0.813,0,40
2414,1785284644406,1785284644406,0,1.262,0,40
2415,1785284644408,1785284644407,1,1.246,0,40
2416,1785284644408,1785284644408,0,1.231,0,40
2417,1785284644409,1785284644409,0,1.154,0,40
2418,1785284644410,1785284644409,1,1.144,0,40
2419,1785284644414,1785284644414,0,1.135,0,40
2420,1785284644415,1785284644414,1,1.127,0,40
2421,1785284644415,1785284644414,1,1.056,0,40
2422,1785284644415,1785284644414,1,0.990,0,40
2423,1785284644415,1785284644414,1,0.928,0,40
2424,1785284644415,1785284644415,0,0.933,0,40
2425,1785284644415,1785284644415,0,0.875,0,40
2426,1785284644415,1785284644415,0,0.820,0,40
2427,1785284644540,1785284644540,0,0.769,0,40
2428,1785284644541,1785284644540,1,0.783,0,40
2429,1785284644541,1785284644540,1,0.734,0,40
2430,1785284644541,1785284644541,0,0.751,0,40
2431,1785284644541,1785284644541,0,0.704,0,40
2432,1785284644542,1785284644541,1,0.722,0,40
2433,1785284644542,1785284644541,1,0.677,0,40
2434,1785284644543,1785284644541,2,0.697,0,40
2435,1785284644543,1785284644542,1,0.716,0,40
2436,1785284644543,1785284644542,1,0.672,0,40
2437,1785284644543,1785284644542,1,0.630,0,40
2438,1785284644544,1785284644542,2,0.653,0,40
2439,1785284644668,1785284644668,0,0.737,0,40
2440,1785284644668,1785284644668,0,0.691,0,40
2441,1785284644669,1785284644668,1,0.710,0,40
2442,1785284644669,1785284644668,1,0.666,0,40
2443,1785284644669,1785284644668,1,0.624,0,40
2444,1785284644669,1785284644668,1,0.585,0,40
2445,1785284644669,1785284644668,1,0.549,0,40
2446,1785284644669,1785284644668,1,0.514,0,40
2447,1785284644669,1785284644668,1,0.482,0,40
2448,1785284644669,1785284644668,1,0.452,0,40
2449,1785284644670,1785284644668,2,0.486,0,40
2450,1785284644670,1785284644669,1,0.518,0,40
2451,1785284644670,1785284644669,1,0.486,0,40
2452,1785284644796,1785284644795,1,0.456,0,40
2453,1785284644796,1785284644795,1,0.427,0,40
2454,1785284644797,1785284644796,1,0.400,0,40
2455,1785284644797,1785284644796,1,0.375,0,40
2456,1785284644797,1785284644796,1,0.352,0,40
2457,1785284644797,1785284644796,1,0.330,0,40
2458,1785284644797,1785284644797,0,0.372,0,40
2459,1785284644798,1785284644797,1,0.411,0,40
2460,1785284644798,1785284644797,1,0.385,0,40
2461,1785284644798,1785284644797,1,0.361,0,40
2462,1785284644798,1785284644797,1,0.339,0,40
2463,1785284644798,1785284644797,1,0.318,0,40
2464,1785284644923,1785284644923,0,0.360,0,40
2465,1785284644924,1785284644923,1,0.400,0,40
2466,1785284644924,1785284644923,1,0.375,0,40
2467,1785284644924,1785284644923,1,0.352,0,40
2468,1785284644924,1785284644923,1,0.330,0,40
2469,1785284644924,1785284644923,1,0.309,0,40
2470,1785284644926,1785284644923,3,0.415,0,40
2471,1785284644926,1785284644924,2,0.451,0,40
2472,1785284644927,1785284644924,3,0.486,0,40
2473,1785284644927,1785284644924,3,0.455,0,40
2474,1785284644927,1785284644924,3,0.427,0,40
2475,1785284644927,1785284644924,3,0.400,0,40
2476,1785284644927,1785284644924,3,0.375,0,40
2477,1785284645052,1785284645052,0,0.539,0,40
2478,1785284645053,1785284645052,1,0.568,0,40
2479,1785284645053,1785284645052,1,0.533,0,40
2480,1785284645053,1785284645052,1,0.499,0,40
2481,1785284645053,1785284645052,1,0.468,0,40
2482,1785284645053,1785284645052,1,0.439,0,40
2483,1785284645054,1785284645052,2,0.474,0,40
2484,1785284645054,1785284645053,1,0.507,0,40
2485,1785284645054,1785284645053,1,0.475,0,40
2486,1785284645060,1785284645053,7,0.820,0,40
2487,1785284645060,1785284645053,7,0.769,0,40
2488,1785284645060,1785284645053,7,0.721,0,40
2489,1785284645106,1785284645106,0,1.113,0,0
2490,1785284645179,1785284645178,1,1.106,0,40
2491,1785284645179,1785284645178,1,1.037,0,40
2492,1785284645179,1785284645179,0,1.035,0,40
2493,1785284645180,1785284645179,1,1.033,0,40
2494,1785284645181,1785284645180,1,0.968,0,40
2495,1785284645181,1785284645181,0,0.970,0,40
2496,1785284645182,1785284645181,1,0.972,0,40
2497,1785284645183,1785284645182,1,0.911,0,40
2498,1785284645183,1785284645183,0,0.917,0,40
2499,1785284645183,1785284645183,0,0.860,0,40
2500,1785284645184,1785284645183,1,0.868,0,40
2501,1785284645184,1785284645183,1,0.814,0,40
2502,1785284645184,1785284645184,0,0.826,0,40
2503,1785284645184,1785284645184,0,0.774,0,40
2504,1785284645184,1785284645184,0,0.726,0,40
2505,1785284645184,1785284645184,0,0.680,0,40
2506,1785284645309,1785284645309,0,0.638,0,40
2507,1785284645311,1785284645309,2,0.723,0,40
2508,1785284645311,1785284645309,2,0.678,0,40
2509,1785284645311,1785284645309,2,0.635,0,40
2510,1785284645311,1785284645309,2,0.596,0,40
2511,1785284645312,1785284645311,1,0.621,0,40
2512,1785284645312,1785284645311,1,0.582,0,40
2513,1785284645312,1785284645311,1,0.546,0,40
2514,1785284645312,1785284645311,1,0.512,0,40
2515,1785284645312,1785284645311,1,0.480,0,40
2516,1785284645312,1785284645311,1,0.450,0,40
2517,1785284645313,1785284645312,1,0.422,0,40
2518,1785284645437,1785284645437,0,0.458,0,40
2519,1785284645438,1785284645437,1,0.492,0,40
2520,1785284645438,1785284645437,1,0.461,0,40
2521,1785284645438,1785284645438,0,0.495,0,40
2522,1785284645438,1785284645438,0,0.464,0,40
2523,1785284645439,1785284645438,1,0.497,0,40
2524,1785284645439,1785284645438,1,0.466,0,40
2525,1785284645439,1785284645438,1,0.437,0,40
2526,1785284645439,1785284645438,1,0.410,0,40
2527,1785284645439,1785284645438,1,0.384,0,40
2528,1785284645440,1785284645438,2,0.423,0,40
2529,1785284645440,1785284645438,2,0.396,0,40
2530,1785284645440,1785284645438,2,0.371,0,40
2531,1785284645564,1785284645563,1,0.411,0,40
2532,1785284645564,1785284645563,1,0.385,0,40
2533,1785284645564,1785284645563,1,0.361,0,40
2534,1785284645564,1785284645563,1,0.338,0,40
2535,1785284645566,1785284645564,2,0.380,0,40
2536,1785284645566,1785284645564,2,0.356,0,40
2537,1785284645566,1785284645564,2,0.334,0,40
2538,1785284645566,1785284645564,2,0.313,0,40
2539,1785284645567,1785284645564,3,0.356,0,40
2540,1785284645567,1785284645566,1,0.459,0,40
2541,1785284645567,1785284645566,1,0.430,0,40
2542,1785284645567,1785284645566,1,0.403,0,40
2543,1785284645692,1785284645691,1,0.378,0,40
2544,1785284645693,1785284645691,2,0.417,0,40
2545,1785284645693,1785284645692,1,0.453,0,40
2546,1785284645693,1785284645692,1,0.425,0,40
2547,1785284645693,1785284645692,1,0.398,0,40
2548,1785284645693,1785284645692,1,0.373,0,40
2549,1785284645694,1785284645692,2,0.413,0,40
2550,1785284645694,1785284645692,2,0.387,0,40
2551,1785284645694,1785284645692,2,0.363,0,40
2552,1785284645694,1785284645693,1,0.402,0,40
2553,1785284645695,1785284645693,2,0.440,0,40
2554,1785284645695,1785284645693,2,0.412,0,40
2555,1785284645695,1785284645693,2,0.387,0,40
2556,1785284645819,1785284645818,1,0.425,0,40
2557,1785284645819,1785284645818,1,0.398,0,40
2558,1785284645819,1785284645819,0,0.436,0,40
2559,1785284645820,1785284645819,1,0.471,0,40
2560,1785284645821,1785284645819,2,0.504,0,40
2561,1785284645821,1785284645819,2,0.473,0,40
2562,1785284645821,1785284645820,1,0.506,0,40
2563,1785284645821,1785284645820,1,0.474,0,40
2564,1785284645821,1785284645820,1,0.444,0,40
2565,1785284645822,1785284645820,2,0.479,0,40
2566,1785284645822,1785284645820,2,0.449,0,40
2567,1785284645822,1785284645820,2,0.421,0,40
2568,1785284645946,1785284645946,0,0.520,0,40
2569,1785284645947,1785284645946,1,0.550,0,40
2570,1785284645948,1785284645947,1,0.515,0,40
2571,1785284645948,1785284645947,1,0.483,0,40
2572,1785284645949,1785284645948,1,0.453,0,40
2573,1785284645949,1785284645948,1,0.425,0,40
2574,1785284645949,1785284645948,1,0.398,0,40
2575,1785284645950,1785284645948,2,0.436,0,40
2576,1785284645950,1785284645948,2,0.409,0,40
2577,1785284645950,1785284645949,1,0.446,0,40
2578,1785284645951,1785284645949,2,0.480,0,40
2579,1785284645951,1785284645949,2,0.450,0,40
2580,1785284645951,1785284645950,1,0.485,0,40
2581,1785284646076,1785284646076,0,0.517,0,40
2582,1785284646077,1785284646076,1,0.547,0,40
2583,1785284646077,1785284646076,1,0.513,0,40
2584,1785284646077,1785284646076,1,0.481,0,40
2585,1785284646077,1785284646076,1,0.451,0,40
2586,1785284646077,1785284646077,0,0.485,0,40
2587,1785284646078,1785284646077,1,0.517,0,40
2588,1785284646078,1785284646077,1,0.485,0,40
2589,1785284646078,1785284646077,1,0.455,0,40
2590,1785284646078,1785284646077,1,0.426,0,40
2591,1785284646078,1785284646077,1,0.400,0,40
